Date,PLN,EUR,CZK,DKK,NOK,RUB,CHF,SEK,HUF,GBP
2010-2,2.850310526315789,1.4238105263157894,18.34531578947368,5.228278947368421,5.745184210526316,29.852137499999998,1.0361157894736843,7.156666666666666,189.0747368421053,1.6162473684210525
2010-3,2.9356842105263157,1.365205263157895,19.020947368421055,5.452936842105263,5.92285,30.14174444444444,1.0743235294117648,7.260657894736843,198.67647058823528,1.5550263157894737
2010-4,2.8631857142857142,1.3566863636363637,18.798363636363636,5.483690476190476,5.911589473684211,29.513066666666667,1.0651818181818182,7.1656818181818185,195.4738095238095,1.50675
2010-5,2.889773684210526,1.33942,18.90405,5.558314999999999,5.915704999999999,29.16927,1.0709,7.209625,198.057,1.5335210526315783
2010-6,3.2554,1.249436842105263,20.56121052631579,5.956843750000001,6.324706249999999,30.604544444444443,1.1338823529411766,7.749027777777777,221.6788888888889,1.4601105263157896
2010-7,3.36064,1.2216285714285715,21.11066666666667,6.092038095238095,6.476080952380952,31.21433,1.1221,7.8341249999999985,230.7352380952381,1.4782380952380954
2010-8,3.1746789473684216,1.2819894736842103,19.67877777777778,5.81435789473684,6.249652631578947,30.562447368421047,1.0521578947368422,7.402105263157895,221.02421052631576,1.532521052631579
2010-9,3.0979249999999996,1.2865619047619046,19.290285714285716,5.791419047619049,6.172571428571429,30.452634999999997,1.0390761904761905,7.32202380952381,218.3566666666667,1.5625350000000005
2010-10,3.01263,1.31354,18.786421052631578,5.673914999999999,6.035005,30.797650000000004,0.9995555555555556,7.020625,214.03947368421052,1.5604249999999997
2010-11,2.841366666666667,1.3916473684210526,17.621500000000005,5.358626315789472,5.834466666666668,30.343500000000002,0.96715,6.6722368421052645,197.2244444444444,1.5870263157894737
2010-12,2.88133125,1.3676,18.01329411764706,5.451882352941176,5.955272222222224,30.982372222222224,0.9825117647058823,6.82,201.2433333333333,1.600022222222222
2011-1,3.017526315789474,1.3234000000000001,19.030100000000004,5.6318399999999995,5.961365,30.79081111111111,0.96587,6.839875000000001,209.408,1.5624000000000002
2011-2,2.9043058823529413,1.3380421052631577,18.2301052631579,5.571868421052631,5.851678947368421,29.955125000000006,0.9571421052631579,6.6561111111111115,205.58473684210526,1.5800789473684211
2011-3,2.8806166666666666,1.3643222222222222,17.801611111111114,5.465055555555555,5.725516666666667,29.219300000000004,0.9511388888888889,6.441527777777777,198.79111111111115,1.6129111111111112
2011-4,2.8637090909090905,1.4022181818181818,17.404545454545453,5.318822727272726,5.591050000000001,28.407727272727268,0.9185227272727272,6.352045454545455,192.55249999999998,1.6150272727272728
2011-5,2.7332315789473682,1.4491666666666665,16.75211111111111,5.148982352941177,5.385606666666667,28.038747368421042,0.8945277777777778,6.19375,182.85157894736844,1.6374187500000001
2011-6,2.750725,1.4309450000000001,17.0578,5.210747368421053,5.470870588235293,27.962989473684207,0.8759315789473683,6.2488888888888905,186.49499999999998,1.6317000000000004
